ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
35.180.75.159,41579,https|socks4|socks5,elite,FR,Paris,40,12.7,true,36.4,18.6,reviving
51.44.97.6,41432,socks4|socks5,elite,FR,Paris,40,12.6,true,41.7,19.0,reviving
13.36.211.95,80,https|socks4|socks5,elite,FR,Paris,41,76.3,true,66.7,76.3,reviving
13.38.72.189,8181,http|https|socks4|socks5,,FR,Paris,41,68.8,true,84.6,68.8,reviving
16.18.37.186,8070,socks4,elite,CH,Zurich,41,13.5,true,36.4,19.2,reviving
3.123.254.15,12605,socks5,elite,DE,Frankfurt am Main,41,63.9,true,69.2,63.9,reviving
16.18.37.186,8382,socks4|socks5,elite,CH,Zurich,42,14.6,true,25.0,21.7,reviving
35.180.75.159,1718,https|socks4|socks5,elite,FR,Paris,42,14.1,true,25.0,16.5,reviving
51.44.97.6,51280,socks4|socks5,elite,FR,Paris,42,12.8,true,33.3,18.9,reviving
63.179.134.206,6854,https|socks4|socks5,elite,DE,Frankfurt am Main,42,14.5,true,8.3,16.7,reviving
13.38.27.183,36651,socks4,elite,FR,Paris,43,13.9,true,16.7,11.9,reviving
63.181.83.210,52953,https|socks4|socks5,elite,DE,Frankfurt am Main,43,10.5,true,25.0,9.3,reviving
13.40.94.69,21200,socks4|socks5,elite,GB,City of London,44,89.3,true,92.9,89.3,reviving
195.201.251.184,80,http,transparent,DE,Nuremberg,44,99.8,true,100.0,100.0,stable
3.127.27.51,8055,https|socks4|socks5,elite,DE,Frankfurt am Main,44,16.3,true,25.0,16.5,reviving
80.74.54.148,3128,http,anonymous,DE,Krefeld,44,85.5,true,100.0,96.5,stable
13.36.211.95,8080,socks4,elite,FR,Paris,45,81.8,true,53.8,77.1,reviving
13.38.72.189,41822,https|socks4|socks5,elite,FR,Paris,45,72.9,true,46.2,72.9,reviving
18.130.190.239,20986,socks4|socks5,elite,GB,City of London,45,79.3,true,61.5,79.3,reviving
18.185.116.137,5285,socks5,elite,DE,Frankfurt am Main,45,80.2,true,69.2,80.2,reviving
35.180.201.54,13186,socks4|socks5,elite,FR,Paris,45,80.3,true,69.2,80.3,reviving
63.181.83.210,38166,https|socks4|socks5,elite,DE,Frankfurt am Main,45,11.1,true,25.0,11.1,reviving
35.176.250.70,1083,socks4|socks5,elite,GB,City of London,46,88.1,true,100.0,88.1,flaky
63.181.83.210,58334,https|socks4|socks5,elite,DE,Frankfurt am Main,46,12.1,true,25.0,10.0,reviving
13.40.94.69,2230,socks4|socks5,elite,GB,City of London,47,85.4,true,92.9,85.4,flaky
16.18.37.186,56166,https|socks4|socks5,elite,CH,Zurich,47,13.6,true,18.2,19.6,reviving
194.163.175.167,40000,http|https,elite,FR,Lauterbourg,47,100.0,true,100.0,100.0,stable
35.177.213.153,8080,socks4,elite,GB,City of London,47,86.0,true,69.2,82.8,reviving
35.177.65.228,34990,https|socks4|socks5,elite,GB,City of London,47,74.3,true,84.6,74.3,reviving
52.47.115.41,6382,https|socks4|socks5,elite,FR,Paris,47,12.3,true,25.0,13.9,reviving
63.180.203.233,21395,socks4|socks5,elite,DE,Frankfurt am Main,47,83.3,true,76.9,83.3,reviving
13.40.94.69,3114,https|socks4|socks5,elite,GB,City of London,48,81.2,true,78.6,81.3,reviving
